Epoch [385/500] | Time: 1.1s | Train Loss: 0.01425 | Val Loss: 0.00850 | Best: 0.00453
Epoch [390/500] | Time: 1.1s | Train Loss: 0.02847 | Val Loss: 0.00874 | Best: 0.00453
Epoch [395/500] | Time: 1.1s | Train Loss: 0.06839 | Val Loss: 0.00861 | Best: 0.00453
Epoch [400/500] | Time: 1.2s | Train Loss: 0.01590 | Val Loss: 0.00849 | Best: 0.00453
Epoch [405/500] | Time: 0.1s | Train Loss: 0.03233 | Val Loss: 0.00863 | Best: 0.00453
Epoch [410/500] | Time: 1.1s | Train Loss: 0.03475 | Val Loss: 0.00849 | Best: 0.00453
Epoch [415/500] | Time: 1.1s | Train Loss: 0.02317 | Val Loss: 0.00840 | Best: 0.00453
Epoch [420/500] | Time: 1.1s | Train Loss: 0.05578 | Val Loss: 0.00826 | Best: 0.00453
Epoch [425/500] | Time: 1.0s | Train Loss: 0.04116 | Val Loss: 0.00803 | Best: 0.00453
Epoch [430/500] | Time: 1.2s | Train Loss: 0.04629 | Val Loss: 0.00817 | Best: 0.00453
Epoch [435/500] | Time: 1.2s | Train Loss: 0.05268 | Val Loss: 0.00795 | Best: 0.00453
Epoch [440/500] | Time: 1.1s | Train Loss: 0.03604 | Val Loss: 0.00791 | Best: 0.00453
Epoch [445/500] | Time: 1.1s | Train Loss: 0.00522 | Val Loss: 0.00798 | Best: 0.00453
Epoch [450/500] | Time: 1.1s | Train Loss: 0.02779 | Val Loss: 0.00782 | Best: 0.00453
Epoch [455/500] | Time: 1.1s | Train Loss: 0.04484 | Val Loss: 0.00782 | Best: 0.00453
Epoch [460/500] | Time: 1.1s | Train Loss: 0.04123 | Val Loss: 0.00788 | Best: 0.00453
Epoch [465/500] | Time: 1.2s | Train Loss: 0.09314 | Val Loss: 0.00808 | Best: 0.00453
Epoch [470/500] | Time: 1.1s | Train Loss: 0.02768 | Val Loss: 0.00804 | Best: 0.00453
Epoch [475/500] | Time: 1.1s | Train Loss: 0.02939 | Val Loss: 0.00813 | Best: 0.00453
Epoch [480/500] | Time: 1.1s | Train Loss: 0.01527 | Val Loss: 0.00827 | Best: 0.00453
Epoch [485/500] | Time: 1.1s | Train Loss: 0.01673 | Val Loss: 0.00860 | Best: 0.00453
Epoch [490/500] | Time: 1.1s | Train Loss: 0.02541 | Val Loss: 0.00879 | Best: 0.00453
Epoch [495/500] | Time: 1.1s | Train Loss: 0.01473 | Val Loss: 0.00909 | Best: 0.00453
Epoch [500/500] | Time: 1.2s | Train Loss: 0.01842 | Val Loss: 0.00926 | Best: 0.00453
